birdnet_id,scientific_name,canonical_scientific_name,common_name,common_name_alt,taxon_group,inat_id,ebird_code,gbif_id,ncbi_id,avibase_id,birdlife_id,ml_taxon_code,xc_name,observationorg_id,observations_count,description_source,image_url,image_author,image_license,image_source,common_name_en,common_name_de,common_name_es,common_name_fr,common_name_pt,common_name_nl,common_name_pl,common_name_ru,common_name_ja,common_name_cs,common_name_tr,common_name_sv,common_name_da,common_name_fi,common_name_it,common_name_ko,common_name_zh-CN,common_name_no,common_name_uk,common_name_sr,common_name_ca,common_name_bg,common_name_sk,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,wikipedia_url_en,wikipedia_url_de,wikipedia_url_fr,wikipedia_url_es,wikipedia_url_cs,wikipedia_url_pt,wikipedia_url_it,wikipedia_url_nl,wikipedia_url_pl,wikipedia_url_ru
BN00001,Abeillia abeillei,Abeillia abeillei,Emerald-chinned Hummingbird,,Aves,6028,emchum1,2476145,1507328,B3F5E5E222C2694B,22687170,emchum1,Abeillia abeillei,71831,149,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Abeillia%20abeillei?size=medium,Daniel Mérida,© Macaulay Library,Macaulay Library ML616622465,Emerald-chinned Hummingbird,Smaragdkehlkolibri,Colibrí de Abeillé,Colibri d'Abeillé,emerald-chinned hummingbird,Smaragdkeelkolibrie,zielaczek,Изумрудогорлый колибри,コバシハチドリ,kolibřík smaragdovohrdlý,Abeille Kolibrisi,smaragdstrupe,Smaragdstrube,viherleukakolibri,,,翠颏蜂鸟,smaragdstrupekolibri,Колібрі малахітовий,Smaragdnobradi kolibri,colibrí d'Abeillé,Смарагдовогушо колибри,kolibrík zelenobradý,Colibrí de Abeillé,Colibrí Pico Corto,Colibrí de Abeillé,Emerald-chinned hummingbird,kratkokljuni kolibrić,Abeilija,مگسمرغ زمردچانه,Sïedn gên emrallt,smaragdkurk-koolibri,https://en.wikipedia.org/wiki/Emerald-chinned%20hummingbird,https://de.wikipedia.org/wiki/Smaragdkehlkolibri,https://fr.wikipedia.org/wiki/Colibri%20d'Abeill%C3%A9,https://es.wikipedia.org/wiki/Abeillia%20abeillei,,https://pt.wikipedia.org/wiki/Beija-flor-de-garganta-esmeralda,https://it.wikipedia.org/wiki/Abeillia%20abeillei,https://nl.wikipedia.org/wiki/Smaragdkeelkolibrie,,https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D1%83%D0%BC%D1%80%D1%83%D0%B4%D0%BD%D0%B0%D1%8F%20%D0%B0%D0%B1%D0%B5%D0%B9%D0%BB%D0%B8%D1%8F
BN00003,Abroscopus albogularis,Abroscopus albogularis,Rufous-faced Warbler,,Aves,116786,rufwar1,2493239,752199,684016CBDE2EC973,22715451,rufwar1,Abroscopus albogularis,77292,799,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20albogularis?size=medium,Ed Thomas,© Macaulay Library,Macaulay Library ML85769661,Rufous-faced Warbler,Rostwangen-Dickichtsänger,Mosquitero Carirrufo,Bouscarle à moustaches,rufous-faced warbler,Roodwangboszanger,skrytoczub rdzawolicy,Рыжещёкая комарница,コシジロムシクイ,budníček rezavolící,Kızıl Yüzlü Ötleğen,rostkindad cettia,Brunmasket Sanger,pikkulehväkerttu,,,棕脸鹟莺,rustmaskesanger,Війчик рудощокий,Rumenolika grmuša,abròscop cara-roig,Ръждиволик певец,pradešan červenolíci,Mosquitero carirrufo,Mosquitero Carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,riđolica svilorepa,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,Gwybedog-delor gyddfwyn,pisi-rädilind,https://en.wikipedia.org/wiki/Rufous-faced%20warbler,,https://fr.wikipedia.org/wiki/Pouillot%20%C3%A0%20gorge%20blanche,https://es.wikipedia.org/wiki/Abroscopus%20albogularis,,https://pt.wikipedia.org/wiki/Abroscopus%20albogularis,,https://nl.wikipedia.org/wiki/Roodwangboszanger,,https://ru.wikipedia.org/wiki/%D0%A0%D1%8B%D0%B6%D0%B5%D1%89%D1%91%D0%BA%D0%B0%D1%8F%20%D1%80%D0%B0%D1%81%D0%BF%D0%B8%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B5%D0%BD%D0%BE%D1%87%D0%BA%D0%B0
BN00004,Abroscopus schisticeps,Abroscopus schisticeps,Black-faced Warbler,,Aves,116787,blfwar1,2493237,565568,0FD03AFF7192A84C,22715454,blfwar1,Abroscopus schisticeps,77293,208,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20schisticeps?size=medium,markus lilje,cc-by-nc-nd,iNaturalist,Black-faced Warbler,Schieferkopf-Dickichtsänger,Mosquitero Carinegro,Bouscarle à face noire,black-faced warbler,Zwartmaskerboszanger,skrytoczub ciemnolicy,Чернолицая комарница,カオグロムシクイ,budníček černolící,Siyah Yüzlü Ötleğen,svartkindad cettia,Sortmasket Sanger,naamiolehväkerttu,,,黑脸鹟莺,svartmaskesanger,Війчик чорнощокий,Crnolika grmuša,abròscop emmascarat,Чернолик певец,pradešan čiernolíci,Mosquitero carinegro,Mosquitero Carinegro,Mosquitero Carinegro,Black-faced warbler,crnolica svilorepa,Juodaveidė raštuotoji musinukė,سسک روسیاه,Gwybedog-delor wynebddu,mustpõsk-rädilind,https://en.wikipedia.org/wiki/Black-faced%20warbler,,https://fr.wikipedia.org/wiki/Pouillot%20%C3%A0%20face%20noire,https://es.wikipedia.org/wiki/Abroscopus%20schisticeps,,,,https://nl.wikipedia.org/wiki/Zwartmaskerboszanger,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%BB%D0%B8%D1%86%D0%B0%D1%8F%20%D1%80%D0%B0%D1%81%D0%BF%D0%B8%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B5%D0%BD%D0%BE%D1%87%D0%BA%D0%B0
BN00005,Abroscopus superciliaris,Abroscopus superciliaris,Yellow-bellied Warbler,,Aves,116788,yebwar1,2493238,330771,A8F5D21FA348AD98,22731005,yebwar1,Abroscopus superciliaris,77294,416,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Abroscopus%20superciliaris?size=medium,Natthaphat Chotjuckdikul,© Macaulay Library,Macaulay Library ML187385731,Yellow-bellied Warbler,Bambusdickichtsänger,Mosquitero Cejiblanco,Bouscarle à sourcils blancs,yellow-bellied warbler,Bamboeboszanger,skrytoczub białobrewy,Желтобрюхая комарница,マミジロムシクイ,budníček šedokorunkatý,Sarı Karınlı Ötleğen,gulbukig cettia,Gulbuget Sanger,bambulehväkerttu,,,黄腹鹟莺,hvitbrynsanger,Війчик білобровий,Žutotrba grmuša,abròscop cellablanc,Жълтокорем певец,pradešan bambusový,Mosquitero cejiblanco,Mosquitero Cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,žutotrba svilorepa,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,Gwybedog-delor torfelyn,bambuse-rädilind,https://en.wikipedia.org/wiki/Yellow-bellied%20warbler,,https://fr.wikipedia.org/wiki/Pouillot%20%C3%A0%20sourcils%20blancs,https://es.wikipedia.org/wiki/Abroscopus%20superciliaris,,https://pt.wikipedia.org/wiki/Abroscopus%20superciliaris,,https://nl.wikipedia.org/wiki/Bamboeboszanger,,https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D1%82%D0%BE%D0%B1%D1%80%D1%8E%D1%85%D0%B0%D1%8F%20%D1%80%D0%B0%D1%81%D0%BF%D0%B8%D1%81%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B5%D0%BD%D0%BE%D1%87%D0%BA%D0%B0
BN00006,Aburria aburri,Aburria aburri,Wattled Guan,,Aves,2103,watgua1,2482313,125058,50A427758325F170,22678440,watgua1,Aburria aburri,70214,188,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Aburria%20aburri?size=medium,Alejandro Bayer Tamayo,cc-by-sa,iNaturalist,Wattled Guan,Lappenguan,Pava Aburria,Pénélope aburri,wattled guan,Lelgoean,grdacz soplowaty,Серёжчатый гуан,ニクダレシャクケイ,guan aburri,Küpeli Guan,flikguan,Lappepenelopehøne,helttasaku,,,肉垂冠雉,gulflikhokko,Абурі,Resasti guan,guan camagroc,Голям черен гуан,morkovec lalôčkový,Pava aburria,Pava Aburria,,Wattled guan,plavokljuni guan,Aburija,شبخروش غبغبکی,Gwân tagellog,sireenhoko,https://en.wikipedia.org/wiki/Wattled%20guan,,https://fr.wikipedia.org/wiki/P%C3%A9n%C3%A9lope%20aburri,https://es.wikipedia.org/wiki/Aburria%20aburri,,https://pt.wikipedia.org/wiki/Aburria%20aburri,https://it.wikipedia.org/wiki/Aburria%20aburri,https://nl.wikipedia.org/wiki/Lelgoean,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D1%91%D0%B6%D1%87%D0%B0%D1%82%D0%B0%D1%8F%20%D0%B0%D0%B1%D1%83%D1%80%D1%80%D0%B8
BN00008,Acanthagenys rufogularis,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,,Aves,12677,spchon1,2487054,266413,BFB1C22E3E0ED8C7,22704451,spchon1,Acanthagenys rufogularis,75063,3319,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Acanthagenys%20rufogularis?size=medium,Nik Borrow,cc-by-nc,iNaturalist,Spiny-cheeked Honeyeater,Braunkehl-Honigfresser,Mielero Golicanelo,Méliphage à bavette,spiny-cheeked honeyeater,Goudkeelhoningeter,kolcoliczek,Розовоклювый серёжкоух,ケミミミツスイ,medosavka modrooká,Diken Yanaklı Balkuşu,rosanäbbad honungsfågel,Grågumpet Honningæder,mustapyrstömesikko,Succiamiele del reggente,,刺颊垂蜜鸟,rosennebbhonningeter,Медолюб-дзвіночок,Oštrobrki medojed,menjamel galtaespinós,Ръждивогуш медояд,medárik hnedohrdlý,Mielero golicanelo,Mielero Golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,ružičastokljuni medojed,,عسلخوار چانهخاردار,Melysor barfog,,https://en.wikipedia.org/wiki/Spiny-cheeked%20honeyeater,https://de.wikipedia.org/wiki/Braunkehl-Honigfresser,https://fr.wikipedia.org/wiki/M%C3%A9liphage%20%C3%A0%20bavette,https://es.wikipedia.org/wiki/Acanthagenys%20rufogularis,,https://pt.wikipedia.org/wiki/Papa-mel-de-garganta-creme,https://it.wikipedia.org/wiki/Acanthagenys%20rufogularis,https://nl.wikipedia.org/wiki/Goudkeelhoningeter,,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D0%BB%D1%8B%D0%B9%20%D1%81%D0%B5%D1%80%D1%91%D0%B6%D1%87%D0%B0%D1%82%D1%8B%D0%B9%20%D0%BC%D0%B5%D0%B4%D0%BE%D1%81%D0%BE%D1%81
BN00009,Acanthidops bairdi,Acanthidops bairdi,Peg-billed Finch,,Aves,10583,pebfin1,5788831,200166,5CCF7540501E4A68,22723128,pebfin1,Acanthidops bairdi,,57,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Acanthidops%20bairdi?size=medium,Ken Chamberlain,cc-by-nc,iNaturalist,Peg-billed Finch,Vulkanammertangare,Yal Costarricense,Bec-en-cheville gris,peg-billed finch,Wigsnavelgors,bambusozięb ostrodzioby,Остроклювый овсяночник,ハシナガシトド,pěnkavka Bairdova,Sivri Gagalı İspinoz,spetsnäbbad tangara,Spidsnæbbet Finke,kiilanokkasirkku,Fringuello di Baird,,尖嘴雀鹀,spissnebbspurv,Шиферка гостродзьоба,Šiljokljuna zeba,frigil becfí,Тънкоклюна чинкова танагра,pinkavka sivá,Yal costarricense,Yal Costarricense,Yal Costarricense,Peg-billed finch,klinastokljuni sjemenar,,سهره نوکمیخی,Pila Baird,,https://en.wikipedia.org/wiki/Peg-billed%20finch,https://de.wikipedia.org/wiki/Vulkanammertangare,https://fr.wikipedia.org/wiki/Bec-en-cheville%20gris,https://es.wikipedia.org/wiki/Acanthidops%20bairdi,,,,https://nl.wikipedia.org/wiki/Wigsnavelgors,,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%BA%D0%BB%D1%8E%D0%B2%D0%B0%D1%8F%20%D0%BE%D0%B2%D1%81%D1%8F%D0%BD%D0%BA%D0%B0
BN00011,Acanthis flammea,Acanthis flammea,Redpoll,,Aves,145300,redpol1,2494622,1603565,A2BB98A9,22725044,redpol1,Acanthis flammea,223,43577,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Acanthis%20flammea?size=medium,Bill Bouton,cc-by-nc,iNaturalist,Redpoll,Birkenzeisig,Pardillo Sizerín,Sizerin flammé,pintarroxo-de-queixo-preto,Barmsijs,czeczotka,Чечётка,ベニヒワ,čečetka zimní,Huş İsketesi,gråsiska,Gråsisken,urpiainen,Organetto,홍방울새,白腰朱顶雀,gråsisik,Чечітка звичайна,Juričica,passerell gorjanegre septentrional,Брезова скатия,stehlík čečetka,Pardillo sizerín,Pardillo Sizerín,Pardillo Sizerín,Pintarroxo-de-queixo-preto,sjeverna juričica,Paprastasis čimčiakas,زلفقرمزی معمولی,Llinos bengoch gyffredin,urvalind,https://en.wikipedia.org/wiki/Redpoll,https://de.wikipedia.org/wiki/Birkenzeisig,https://fr.wikipedia.org/wiki/Acanthis%20(genre),https://es.wikipedia.org/wiki/Acanthis,https://cs.wikipedia.org/wiki/%C4%8Ce%C4%8Detka,,https://it.wikipedia.org/wiki/Acanthis,https://nl.wikipedia.org/wiki/Acanthis,https://pl.wikipedia.org/wiki/Acanthis,
BN00012,Acanthisitta chloris,Acanthisitta chloris,Rifleman,,Aves,7254,riflem1,5229954,57068,7D5E37D94F5EBA80,22698577,riflem1,Acanthisitta chloris,,1911,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Acanthisitta%20chloris?size=medium,James Bailey,cc-by-nc,iNaturalist,Rifleman,Grünstummelschwanz,Acantisita Verdoso,Xénique grimpeur,rifleman,Geweervogel,barglik,Зелёный стрелок,ミドリイワサザイ,pokřovník zelený,Nişancı,klättersmyg,Klatresmutte,metsävilistäjä,Fuciliere,,刺鹩,skogklatresmett,Стрілець,Carić puškar,acantisita bec d'alena,Зелено новозеландско орехче,striežik zelenkavý,Acantisita verdoso,Acantisita Verdoso,Acantisita Verdoso,,šumski palčac,Žalioji pita,,Reifflwr,õõne-nürisaba,https://en.wikipedia.org/wiki/Rifleman%20(bird),https://de.wikipedia.org/wiki/Gr%C3%BCnstummelschwanz,https://fr.wikipedia.org/wiki/X%C3%A9nique%20grimpeur,https://es.wikipedia.org/wiki/Acanthisitta%20chloris,https://cs.wikipedia.org/wiki/Pok%C5%99ovn%C3%ADk%20zelen%C3%BD,https://pt.wikipedia.org/wiki/Carri%C3%A7a-da-nova-zel%C3%A2ndia,https://it.wikipedia.org/wiki/Acanthisitta%20chloris,https://nl.wikipedia.org/wiki/Geweervogel,https://pl.wikipedia.org/wiki/Barglik,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B5%D0%BB%D0%BE%D0%BA%20(%D0%BF%D1%82%D0%B8%D1%86%D0%B0)
BN00013,Acanthiza apicalis,Acanthiza apicalis,Inland Thornbill,,Aves,72439,inltho1,7341406,117185,4413633D7302ECEE,22731025,inltho1,Acanthiza apicalis,79274,1218,wikipedia,https://birdnet.cornell.edu/taxonomy/api/image/Acanthiza%20apicalis?size=medium,wacrakey,cc-by-nc,iNaturalist,Inland Thornbill,Stelzschwanz-Dornschnabel,Acantiza Apical,Acanthize troglodyte,inland thornbill,Roodstuitdoornsnavel,buszówka szerokosterna,Пестрогрудая шипоклювка,ヒロオトゲハシムシクイ,střízlíkovec australský,Al Gözlü Dikengaga,inlandstaggnäbb,Bredhalet Mejsesanger,vipeväotsamaluri,Beccospino codamarginata,,宽尾刺嘴莺,krattornsmett,Шиподзьоб широкохвостий,Australijska trnokljunka,acantiza caragolet,Пъстрогуш шипоклюн певец,ostrozobka hnedochvostá,Acantiza apical,Acantiza Apical,Acantiza Apical,Inland thornbill,pjegavočela trnokljunka,Plačiauodegis spygliasnapis,نوکخاری دمپهن,Dreinbig y canoldir,mallee-sirilind,https://en.wikipedia.org/wiki/Inland%20thornbill,,https://fr.wikipedia.org/wiki/Acanthize%20troglodyte,https://es.wikipedia.org/wiki/Acanthiza%20apicalis,,,,https://nl.wikipedia.org/wiki/Roodstuitdoornsnavel,,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%80%D0%BE%D0%BA%D0%BE%D1%85%D0%B2%D0%BE%D1%81%D1%82%D0%B0%D1%8F%20%D1%88%D0%B8%D0%BF%D0%BE%D0%BA%D0%BB%D1%8E%D0%B2%D0%BA%D0%B0
